index,AD_1_02_1,AD_1_04_1,AD_1_08_1,AD_1_09_1,AD_1_11_1,AD_1_13_1,AD_2_01_1,AD_2_02_1,AD_2_03_1,AD_2_05_1,AD_2_07_1,AD_3_00_1,AD_3_01_1,AD_3_03_1,AD_3_05_1,AD_3_07_1,AD_4_10_1,AD_4_11_1,AD_4_12_1,AD_4_13_1,AD_5_09_1,AD_5_10_1,AD_5_11_1,AD_5_12_1,AD_5_13_1,AD_6_09_1,AD_6_10_1,AD_6_11_1,AD_6_12_1,AD_6_13_1,AD_7_06_1,AD_7_08_1,AD_7_09_1,AD_7_11_1,AD_7_12_1,AD_8_03_1,AD_8_05_1,AD_8_07_1,AD_8_09_1,AD_8_11_1,AD_8_12_1,AD_9_04_1,AD_9_06_1,AD_9_09_1,AD_10_04_1,AD_10_06_1,AD_10_09_1,AD_10_10_1,AD_11_02_1,AD_11_03_1,AD_11_04_1,AD_11_08_1,AD_11_10_1,AD_12_02_1,AD_12_03_1,AD_12_05_1,AD_12_07_1,AD_13_00_1,AD_13_03_1,AD_13_04_1,AD_13_06_1,AD_14_00_1,AD_14_01_1,AD_14_03_1,AD_14_05_1,AD_14_07_1,AD_14_10_1,AD_14_13_1,AD_14_14_1,AD_15_00_1,AD_15_01_1,AD_15_03_1,AD_15_04_1,AD_15_06_1,N_1_01_1,N_1_05_1,N_1_07_1,N_1_08_1,N_1_09_1,N_2_00_1,N_2_01_1,N_2_03_1,N_2_06_1,N_2_08_1,N_3_01_1,N_3_03_1,N_3_04_1,N_3_06_1,N_4_01_1,N_4_02_1,N_4_04_1,N_4_06_1,N_4_08_1,N_5_03_1,N_5_04_1,N_5_06_1,N_5_08_1,N_5_10_1,N_6_01_1,N_6_02_1,N_6_03_1,N_6_06_1,N_6_08_1,N_7_01_1,N_7_02_1,N_7_04_1,N_7_07_1,N_8_01_1,N_8_05_1,N_8_07_1,N_9_00_1,N_9_03_1,N_9_06_1,N_9_08_1,N_9_12_1
ENSG00000176248,22,6,18,14,15,12,20,17,6,6,5,10,38,16,2,23,5,3,19,10,11,7,0,1,3,14,8,0,0,34,10,14,38,1,19,10,4,9,10,9,20,30,20,9,2,5,13,15,4,10,5,0,0,21,2,17,19,10,16,13,0,10,1,6,4,69,5,9,9,2,32,1,18,24,9,0,13,16,7,50,25,9,36,39,17,8,16,7,6,0,1,0,3,9,4,10,16,16,4,12,20,15,5,24,14,4,5,3,14,9,25,5,7,11,14
ENSG00000177156,6,9,14,3,12,4,2,15,6,9,8,5,24,2,15,11,5,6,6,6,8,24,3,13,5,19,0,0,0,28,23,2,13,4,13,2,0,15,11,0,5,0,4,16,6,0,5,19,7,0,8,0,37,3,5,11,9,0,6,1,3,24,11,1,5,2,11,15,13,7,0,1,5,23,1,48,13,7,5,42,27,6,5,21,20,7,3,5,0,0,1,1,1,0,2,1,7,4,2,0,3,37,1,12,6,18,10,16,7,4,7,7,12,2,4
ENSG00000166402,5,0,15,19,22,11,20,22,3,16,4,18,24,14,9,30,6,19,31,10,2,2,7,2,15,8,1,7,4,28,14,3,13,17,38,13,14,5,12,32,12,11,23,10,14,6,6,7,6,3,7,17,25,21,6,24,16,12,0,10,7,24,14,10,10,9,8,17,21,9,0,11,23,7,10,0,4,14,16,59,7,12,10,48,18,19,10,18,0,0,4,18,13,7,3,11,10,6,13,12,7,36,18,26,8,21,3,18,8,17,6,19,2,6,6
ENSG00000175220,4,24,14,23,24,9,4,22,6,43,1,16,26,21,17,15,6,5,26,7,9,1,3,16,32,13,11,8,11,37,18,14,35,14,12,15,20,12,5,14,51,33,18,22,2,19,16,18,14,2,17,11,23,17,1,8,13,12,4,16,23,12,23,3,27,27,7,12,21,10,4,0,26,7,25,4,10,15,20,35,31,13,47,38,35,16,6,21,1,0,1,0,15,3,8,14,19,19,15,5,14,14,28,27,9,5,19,18,5,18,36,33,5,14,15
ENSG00000168000,1,0,2,13,2,8,0,19,3,3,19,5,11,8,3,22,1,3,2,1,1,15,0,0,3,13,0,6,0,6,3,2,8,8,2,4,17,0,1,1,0,5,11,8,6,5,13,14,4,5,9,0,0,3,0,4,3,0,0,10,9,2,1,0,5,3,1,2,0,9,0,0,2,0,2,7,4,2,1,14,23,8,12,8,8,10,2,1,0,0,0,8,0,0,5,9,10,19,2,10,7,0,2,1,0,13,5,10,2,12,6,12,1,18,3
ENSG00000172757,3,13,6,22,10,9,8,21,26,14,1,14,43,22,12,17,7,14,4,10,3,2,17,19,10,22,13,5,19,33,13,26,11,4,32,9,0,20,3,3,3,8,30,6,6,5,10,21,8,1,3,15,30,2,23,14,3,22,0,5,5,13,28,19,6,28,7,20,14,12,2,3,28,17,5,1,6,21,19,31,19,6,13,47,21,10,13,3,5,2,12,13,2,8,3,5,16,19,36,14,12,11,7,14,16,7,12,16,0,7,6,10,7,6,7
ENSG00000175602,3,1,3,0,1,0,1,5,2,1,1,4,9,7,6,6,7,13,0,2,8,0,0,0,0,5,9,17,3,5,2,4,2,2,7,3,7,1,1,0,13,1,2,3,0,0,2,3,1,0,2,0,0,1,0,0,7,1,0,1,4,0,5,0,6,16,13,10,0,2,3,0,0,10,2,0,5,6,0,15,10,9,4,8,11,0,0,0,0,0,0,0,0,3,1,0,0,3,29,0,11,12,5,1,0,6,4,4,4,0,0,2,1,9,7
ENSG00000175334,2,17,6,2,0,6,2,0,23,2,4,1,9,3,0,12,4,1,1,0,1,7,0,1,0,0,0,13,0,11,0,5,2,1,0,0,0,3,2,0,2,3,9,2,0,0,7,0,0,0,7,49,0,1,0,1,0,0,0,3,6,1,0,0,9,4,10,8,3,0,0,0,6,0,0,0,0,8,2,32,0,15,0,4,2,3,0,0,0,0,10,0,0,0,5,8,0,4,3,6,21,8,0,3,1,4,3,1,0,0,0,2,0,0,1
ENSG00000175567,6,0,8,23,20,4,4,19,19,13,31,6,24,4,0,19,8,9,2,14,28,23,24,2,3,16,16,18,1,27,22,9,5,5,12,23,33,1,11,0,0,21,8,13,3,10,4,16,8,0,24,2,3,17,1,26,6,1,4,9,5,12,0,5,3,3,3,29,18,0,28,5,14,6,14,2,12,11,6,42,26,34,14,17,30,0,3,9,0,4,0,4,6,4,7,2,30,22,8,1,5,2,7,9,16,16,24,7,8,5,17,17,5,5,15
ENSG00000137486,17,19,16,9,17,13,9,35,12,24,18,16,36,24,10,31,4,11,3,4,22,8,1,2,3,8,31,5,1,29,25,7,15,19,25,14,3,12,16,0,18,9,21,16,12,4,18,20,3,8,16,1,16,30,20,22,15,9,40,7,0,6,21,27,25,3,16,24,9,5,17,7,49,36,8,4,1,49,7,50,18,22,25,36,16,5,8,12,0,0,6,1,4,20,15,27,15,16,1,2,7,40,31,18,12,13,13,14,8,16,3,32,8,13,18
